Famili Ikan,Spesies Ikan,Nama Lokal
Cyprinidae,Osteochilus schlegelii,Seberok
Cyprinidae,Cyclocheilichthys enoplos,Tempanai/Coli/Lumajang
Cyprinidae,Labiobarbus festivus,Badas/Kojam
Cyprinidae,Puntius waandersi,Waanders barb/Cipuk
Cyprinidae,Labiobarbus fasciatus,Badas belang/Lambak
Xenocyprididae,Oxygaster anomalura,Terbul/Samis
Cyprinidae,Epalzeorhynchos kalopterus,Botol-botol/Ikan terbang
Cyprinidae,Hampala macrolepidota,Hampala/Sebarau
Cyprinidae,Barbonymus schwanenfeldii,Tinfoil barb/Kepiat/Lampam sungai
Cyprinidae,Osteochilus vittatus,Seluang batu/Bowok
Cyprinidae,Barbonymus gonionotus,Tawes
Cyprinidae,Cyclocheilichthys heteronema,Temol/Temperas
Cyprinidae,Labeo chrysophekadion,Kerong-kerong/Sitam
Cyprinidae,Rasbora cephalotaenia,Seluang belang/Seluang kureng
Cyprinidae,Rasbora argyrotaenia,Seluang merah/Seluang batang
Cyprinidae,Rasbora tornieri,Seluang air jernih
Cyprinidae,Rasbora wilpita,Seluang Sri Lanka
Cyprinidae,Rasbora aurotaenia,Seluang kuning
Cyprinidae,Anematichthys armatus,Seluang bersirip kuat
Cyprinidae,Labiobarbus sabanus,Seluang sabah/Seombot-ombot
Bagridae,Mystus nemurus,Patin kepala lebar/Baung
Bagridae,Mystus gulio,Duri/Lundu
Bagridae,Mystus nigriceps,Duri belang/Berenget
Siluridae,Kryptopterus micronema,Lele kaca kecil/Lais muncung
Siluridae,Kryptopterus limpok,Lele limpok/Lais janggut
Siluridae,Kryptopterus geminus,Lais/Lele kaca besar
Ambassidae,Ambassis kopsii,Selingsing/Sepokak
Ambassidae,Parambassis wolffii,Selingsing berbintik/Sepengkah
Penaeidae,Litopenaeus vannamei,Udang vaname/Udang sarap
Penaeidae,Penaeus monodon,Udang windu
Clupeidae,Clupeoides borneensis,Tembang borneo/Seluang bilis
Polynemidae,Polynemus dubius,Lampam/Janggut
Osphronemidae,Trichogaster pectoralis,Sepat siam/Gurami sepat
Osphronemidae,Trichogaster trichopterus,Sepat mata merah/Sepat biru
Helostomatidae,Helostoma temminckii,Sapil/Tambakan/Gurami jepun
Anabantidae,Anabas testudineus,Ikan betok
Clariidae,Clarias batrachus,Lele lokal
Palaemonidae,Macrobrachium rosenbergii,Udang galah
Pangasiidae,Pangasius polyuranodon,Patin sungai/Juaro
Loricariidae,Pterygoplichthys pardalis,Ikan sapu-sapu
Nemacheilidae,Nemacheilus longistriatus,Kerandang/akar pisang
Pangasiidae,Pangasius micronemus,Riu-riu/Patin kecil
Schilbeidae,Pseudeutropius moolenburghae,Patin putih/Langli
Botiidae,Botia hymenophysa,Sepatung/Botia macan
Pristolepididae,Pristolepis fasciata,Ikan kekel/Lume
Channidae,Channa striata,Gabus
